src_ip,dest_ip,protocol,src_port,dest_port,flow_duration,bytes,packets,timestamp,label
95.47.14.200,173.146.221.87,UDP,60847,55451,2.294,8773,17,2025-11-01 00:27:00,1
206.214.251.249,15.122.120.78,TCP,20880,16135,1.584,6762,107,2025-11-01 00:28:00,0
190.39.212.208,66.38.240.18,TCP,50700,58212,14.612,9634,24,2025-11-01 00:29:00,0
237.81.110.53,198.186.159.21,TCP,28390,52379,1.911,9042,163,2025-11-01 00:30:00,0
24.153.216.252,168.219.26.2,UDP,55835,16202,0.328,4547,118,2025-11-01 00:31:00,1
188.123.236.41,97.207.38.214,TCP,47994,41354,0.915,3532,151,2025-11-01 00:32:00,0
157.14.44.65,56.106.126.239,TCP,36162,18937,9.734,4965,136,2025-11-01 00:33:00,0
89.70.8.88,13.125.183.194,ICMP,43268,13259,4.417,1173,182,2025-11-01 00:34:00,1
129.235.135.216,206.55.229.233,ICMP,51811,61753,7.543,4905,87,2025-11-01 00:35:00,1
63.138.242.81,28.63.70.210,ICMP,43707,65310,8.272,7809,149,2025-11-01 00:36:00,0
136.162.162.33,192.183.168.119,TCP,11662,21763,8.665,8800,19,2025-11-01 00:37:00,1
123.4.233.231,100.40.227.236,TCP,21840,3229,3.999,3040,159,2025-11-01 00:38:00,1
250.40.27.135,4.184.157.88,TCP,57643,59406,0.975,9553,50,2025-11-01 00:39:00,0
201.71.11.162,84.45.183.159,UDP,21622,49229,0.802,7706,71,2025-11-01 00:40:00,0
33.47.246.151,88.6.217.77,UDP,43565,3411,4.266,6744,112,2025-11-01 00:41:00,1
62.215.36.99,182.135.182.197,ICMP,11676,409,2.283,7405,24,2025-11-01 00:42:00,0
172.103.213.219,172.140.92.20,UDP,17987,53245,4.083,6672,46,2025-11-01 00:43:00,0
35.192.226.101,78.159.187.178,UDP,49535,47498,3.451,1807,136,2025-11-01 00:44:00,1
175.205.130.1,27.119.24.52,UDP,33247,65359,4.609,2114,77,2025-11-01 00:45:00,1
5.217.246.142,196.20.17.39,ICMP,32048,51420,0.163,1181,3,2025-11-01 00:46:00,0
103.26.136.207,15.52.37.176,ICMP,58026,58088,0.167,1117,162,2025-11-01 00:47:00,0
15.89.41.124,52.215.71.28,UDP,4965,53681,6.393,4639,77,2025-11-01 00:48:00,0
205.178.62.96,213.143.251.118,TCP,9411,60198,1.073,6160,185,2025-11-01 00:49:00,0
231.240.51.253,144.34.144.201,ICMP,9548,54727,5.281,8383,118,2025-11-01 00:50:00,1
96.131.221.229,249.98.51.221,UDP,36883,5774,3.955,4872,58,2025-11-01 00:51:00,0
151.230.236.143,231.209.139.83,TCP,38510,52987,20.03,8710,163,2025-11-01 00:52:00,0
171.28.35.13,48.21.122.248,TCP,42641,36766,9.021,1725,21,2025-11-01 00:53:00,1
160.70.186.243,127.176.51.79,ICMP,26303,59176,2.665,3531,65,2025-11-01 00:54:00,0
86.27.65.170,129.65.63.8,TCP,55728,40076,4.791,1411,66,2025-11-01 00:55:00,0
45.61.184.245,214.24.193.243,ICMP,55154,9180,0.624,5499,185,2025-11-01 00:56:00,0
134.27.27.108,201.200.204.198,UDP,27049,5618,2.442,3463,42,2025-11-01 00:57:00,0
44.83.29.190,94.206.178.181,ICMP,18660,2702,6.619,9928,43,2025-11-01 00:58:00,0
75.127.249.247,15.177.198.122,TCP,42507,52865,4.873,4016,26,2025-11-01 00:59:00,0
92.216.230.190,75.103.37.168,ICMP,44248,3908,3.313,1438,195,2025-11-01 01:00:00,0
225.128.120.27,194.114.239.39,ICMP,14301,60209,0.971,5401,154,2025-11-01 01:01:00,1
190.120.115.205,202.107.16.135,UDP,49742,13842,8.126,1441,136,2025-11-01 01:02:00,0
233.2.102.198,118.231.38.196,TCP,36214,25331,1.595,9940,175,2025-11-01 01:03:00,0
200.154.136.62,35.50.46.36,ICMP,42019,49828,8.587,1452,165,2025-11-01 01:04:00,0
165.224.50.234,64.94.216.105,UDP,42759,54080,4.729,6470,82,2025-11-01 01:05:00,0
172.151.206.59,13.145.148.112,UDP,50203,13408,2.332,3270,146,2025-11-01 01:06:00,0
118.159.95.216,65.227.241.8,UDP,8563,61468,0.207,7561,164,2025-11-01 01:07:00,1
233.179.112.62,244.47.84.43,UDP,33877,48092,1.323,5889,104,2025-11-01 01:08:00,0
241.185.51.12,244.180.244.85,UDP,27835,54502,10.994,6096,130,2025-11-01 01:09:00,0
254.38.129.131,155.18.22.115,ICMP,27952,61856,8.518,4762,84,2025-11-01 01:10:00,0
113.100.112.184,50.178.42.99,ICMP,7933,32200,4.277,8149,120,2025-11-01 01:11:00,0
81.186.112.2,104.115.50.106,TCP,29093,55321,3.14,1304,3,2025-11-01 01:12:00,1
130.219.53.87,112.196.243.169,ICMP,64591,26287,5.208,2299,104,2025-11-01 01:13:00,1
229.223.224.129,72.138.79.231,TCP,54457,19860,3.139,402,108,2025-11-01 01:14:00,0
147.125.129.53,239.215.252.213,TCP,47108,6817,5.168,6316,34,2025-11-01 01:15:00,1
172.217.159.198,180.150.48.166,TCP,38445,49694,1.837,9764,126,2025-11-01 01:16:00,0
160.246.67.183,47.71.6.66,ICMP,9057,16549,9.116,6460,113,2025-11-01 01:17:00,0
203.183.122.145,222.76.61.215,UDP,57840,26832,6.052,5424,110,2025-11-01 01:18:00,1
38.23.68.116,157.37.124.229,TCP,11772,56245,2.002,6788,174,2025-11-01 01:19:00,0
98.197.213.139,84.160.28.114,UDP,47717,17369,8.879,9615,190,2025-11-01 01:20:00,0
240.143.96.201,79.22.105.131,TCP,6090,19046,3.341,7871,70,2025-11-01 01:21:00,0
124.186.69.208,101.247.220.173,ICMP,63489,53621,0.96,706,185,2025-11-01 01:22:00,0
93.2.147.252,8.85.116.29,TCP,46296,33386,0.404,2852,138,2025-11-01 01:23:00,0
187.163.146.90,2.232.112.251,ICMP,49688,12106,6.013,2515,88,2025-11-01 01:24:00,1
195.254.146.148,178.236.64.108,UDP,50432,24645,10.017,7013,18,2025-11-01 01:25:00,0
96.198.51.233,20.179.212.37,ICMP,13022,5640,8.237,3140,161,2025-11-01 01:26:00,0
161.167.127.39,72.26.174.123,UDP,14788,30331,5.33,3441,135,2025-11-01 01:27:00,0
82.103.128.11,227.133.187.45,ICMP,35239,11617,0.762,5055,45,2025-11-01 01:28:00,0
220.184.216.178,172.82.252.146,TCP,46403,20581,0.494,2591,112,2025-11-01 01:29:00,1
151.158.221.42,120.64.24.27,TCP,16882,32769,2.116,2191,157,2025-11-01 01:30:00,1
99.6.251.144,135.171.105.157,ICMP,39492,26975,9.652,6677,83,2025-11-01 01:31:00,1
90.111.248.244,223.43.106.36,UDP,60612,59399,16.316,427,166,2025-11-01 01:32:00,0
60.112.1.129,147.5.152.159,UDP,54775,45374,1.381,5904,39,2025-11-01 01:33:00,1
48.253.139.197,9.211.201.165,UDP,37135,47727,7.179,3201,153,2025-11-01 01:34:00,0
37.159.250.247,155.12.40.128,ICMP,18101,30551,4.265,2420,145,2025-11-01 01:35:00,0
9.232.98.147,66.241.84.225,ICMP,63422,47613,0.162,8608,61,2025-11-01 01:36:00,1
48.207.130.148,24.244.43.106,ICMP,11281,24762,3.914,4375,51,2025-11-01 01:37:00,0
152.53.119.161,98.59.8.130,ICMP,48234,62168,8.198,1320,37,2025-11-01 01:38:00,0
152.115.74.113,247.55.157.22,UDP,45584,10702,1.616,783,67,2025-11-01 01:39:00,1
200.163.165.104,238.202.246.235,UDP,46204,20823,11.383,7396,24,2025-11-01 01:40:00,1
84.253.226.112,81.99.12.71,ICMP,58850,14971,1.348,3526,122,2025-11-01 01:41:00,0
254.216.98.153,16.224.44.65,ICMP,4689,21193,0.398,8063,49,2025-11-01 01:42:00,1
93.145.127.110,139.69.147.99,UDP,61443,35848,0.871,1108,149,2025-11-01 01:43:00,1
82.193.53.163,236.190.100.105,UDP,36466,23104,9.07,9240,185,2025-11-01 01:44:00,1
208.188.168.228,218.249.139.190,TCP,44382,57480,2.7,7011,169,2025-11-01 01:45:00,0
161.67.32.142,94.219.218.42,ICMP,17758,55171,7.971,7566,145,2025-11-01 01:46:00,1
21.47.147.248,83.196.185.133,TCP,9864,49535,3.788,8574,109,2025-11-01 01:47:00,1
128.135.134.195,105.154.27.26,UDP,13086,28858,3.275,670,102,2025-11-01 01:48:00,0
145.127.32.176,219.115.48.234,UDP,8068,43647,8.223,337,149,2025-11-01 01:49:00,0
204.186.114.214,149.0.245.92,ICMP,58595,17312,2.754,8188,68,2025-11-01 01:50:00,0
119.21.237.158,240.249.57.79,TCP,3087,60788,8.098,8929,192,2025-11-01 01:51:00,0
38.229.108.51,183.80.25.212,UDP,23337,21444,0.53,5356,44,2025-11-01 01:52:00,1
182.7.26.27,153.76.160.217,TCP,58792,16945,5.057,1545,124,2025-11-01 01:53:00,0
226.20.29.97,72.68.5.23,TCP,28111,33958,6.063,2865,28,2025-11-01 01:54:00,0
28.110.191.225,244.157.205.54,TCP,46803,50050,11.468,8610,36,2025-11-01 01:55:00,1
197.251.60.48,87.10.158.134,TCP,41205,14975,1.27,8937,165,2025-11-01 01:56:00,0
147.3.34.192,11.76.254.12,TCP,19229,46985,4.634,2454,127,2025-11-01 01:57:00,0
49.16.171.220,246.193.52.99,ICMP,55065,46894,2.839,5696,44,2025-11-01 01:58:00,0
158.220.45.117,247.35.144.28,ICMP,13488,35137,2.413,9002,50,2025-11-01 01:59:00,0
6.98.123.233,220.149.101.7,TCP,44574,63153,0.564,9326,113,2025-11-01 02:00:00,1
37.23.92.241,15.223.138.24,ICMP,28156,26315,0.721,5187,183,2025-11-01 02:01:00,1
46.180.94.99,195.29.197.250,UDP,51761,29853,9.07,4484,88,2025-11-01 02:02:00,0
188.224.115.191,66.60.77.41,TCP,43662,4954,6.927,7587,138,2025-11-01 02:03:00,1
253.212.159.215,82.50.171.95,ICMP,38451,24283,2.409,9463,38,2025-11-01 02:04:00,0
161.66.127.18,13.89.235.140,ICMP,36072,11238,8.815,1486,49,2025-11-01 02:05:00,0
25.233.222.54,82.8.240.213,UDP,4773,37149,0.421,2442,72,2025-11-01 02:06:00,0
58.66.103.174,48.48.52.184,UDP,36330,28449,4.901,5682,2,2025-11-01 02:07:00,1
24.113.31.175,40.106.23.226,UDP,26616,31772,10.131,1866,44,2025-11-01 02:08:00,0
86.150.193.127,200.107.244.33,UDP,50619,51551,9.128,7958,35,2025-11-01 02:09:00,0
155.233.129.218,23.76.53.53,TCP,19475,55379,2.332,3887,116,2025-11-01 02:10:00,0
17.103.160.137,49.205.77.80,ICMP,29282,54896,6.837,1132,149,2025-11-01 02:11:00,0
43.245.175.39,177.101.121.188,ICMP,45782,45722,2.788,4717,57,2025-11-01 02:12:00,1
221.169.246.26,103.89.89.193,UDP,61995,58738,9.167,1760,91,2025-11-01 02:13:00,0
99.49.152.152,160.120.206.244,ICMP,58478,2589,3.783,922,23,2025-11-01 02:14:00,1
13.59.249.135,149.145.221.60,ICMP,36326,60811,7.238,163,32,2025-11-01 02:15:00,0
57.35.172.20,122.140.151.30,ICMP,33880,59369,0.409,3530,71,2025-11-01 02:16:00,1
65.7.237.144,130.82.110.108,UDP,53566,14816,4.458,5837,161,2025-11-01 02:17:00,1
142.203.114.215,111.24.49.14,ICMP,22645,6357,3.996,642,17,2025-11-01 02:18:00,0
143.91.97.66,134.75.83.87,ICMP,7601,20070,4.708,3871,127,2025-11-01 02:19:00,0
32.214.190.86,158.29.165.58,ICMP,52117,41890,5.948,5500,170,2025-11-01 02:20:00,1
51.152.185.63,94.40.93.57,TCP,20718,14696,12.512,8536,17,2025-11-01 02:21:00,1
190.124.149.58,250.163.63.241,TCP,9287,53462,7.701,6986,48,2025-11-01 02:22:00,0
58.85.48.180,98.15.87.78,ICMP,18229,20784,1.24,3268,176,2025-11-01 02:23:00,0
170.69.14.54,90.71.13.31,ICMP,9096,52379,8.741,9483,57,2025-11-01 02:24:00,1
235.187.100.225,66.111.67.193,ICMP,61838,1404,0.651,9168,103,2025-11-01 02:25:00,0
8.52.59.236,55.211.122.206,ICMP,50991,41160,4.867,6548,189,2025-11-01 02:26:00,0
108.4.102.196,168.152.251.25,ICMP,58771,28328,10.717,2353,44,2025-11-01 02:27:00,1
6.108.223.116,131.68.101.118,ICMP,51874,2286,0.533,3329,151,2025-11-01 02:28:00,1
94.46.98.55,26.39.37.166,TCP,46330,8863,9.475,7036,122,2025-11-01 02:29:00,1
168.51.143.13,196.6.221.158,UDP,44900,1729,8.013,4884,53,2025-11-01 02:30:00,0
114.123.105.158,120.146.230.35,ICMP,41154,11431,3.504,2238,33,2025-11-01 02:31:00,1
147.144.119.63,232.160.160.78,ICMP,44026,34018,1.847,8917,56,2025-11-01 02:32:00,0
19.91.57.183,38.137.184.28,ICMP,6715,33647,2.6,4275,28,2025-11-01 02:33:00,0
90.228.217.117,206.99.37.144,UDP,23137,28923,17.314,8286,151,2025-11-01 02:34:00,0
62.22.126.137,124.148.91.97,ICMP,2977,11544,1.126,3252,63,2025-11-01 02:35:00,1
140.244.128.58,6.168.126.15,ICMP,5987,51676,4.333,4209,7,2025-11-01 02:36:00,0
122.0.238.34,108.130.42.47,UDP,39778,49650,0.435,3246,111,2025-11-01 02:37:00,1
96.125.117.48,99.13.193.157,ICMP,41544,26564,1.229,681,130,2025-11-01 02:38:00,1
89.231.236.117,132.153.114.140,UDP,28893,25554,7.205,4879,193,2025-11-01 02:39:00,0
129.15.188.231,2.144.34.10,UDP,62070,48861,1.802,6209,132,2025-11-01 02:40:00,1
192.190.68.22,112.213.232.171,ICMP,12469,40471,21.261,7695,8,2025-11-01 02:41:00,1
93.246.194.76,21.14.162.112,TCP,38783,60389,3.474,101,126,2025-11-01 02:42:00,0
154.143.178.229,126.84.84.213,TCP,21209,60093,3.634,1263,49,2025-11-01 02:43:00,0
86.184.28.206,188.171.223.247,ICMP,9471,7579,0.185,532,29,2025-11-01 02:44:00,0
220.68.46.241,5.230.200.117,UDP,35723,21264,15.678,6862,82,2025-11-01 02:45:00,0
94.237.189.244,146.148.71.236,UDP,51287,10669,0.957,6651,55,2025-11-01 02:46:00,1
197.203.143.218,244.225.73.51,UDP,34664,16923,3.865,1179,165,2025-11-01 02:47:00,0
218.175.84.39,169.248.23.232,ICMP,8978,12233,2.518,5530,95,2025-11-01 02:48:00,1
100.32.253.222,152.247.223.248,TCP,54763,9093,2.686,6834,6,2025-11-01 02:49:00,1
101.22.249.10,225.37.43.185,UDP,56655,34235,5.154,1295,152,2025-11-01 02:50:00,0
246.68.99.34,248.242.186.241,UDP,18969,43976,5.425,2535,112,2025-11-01 02:51:00,0
180.222.137.250,162.74.94.210,ICMP,39318,61650,0.838,3325,105,2025-11-01 02:52:00,0
147.185.95.1,23.123.85.43,TCP,13944,40483,3.462,2295,40,2025-11-01 02:53:00,0
248.68.236.4,210.39.46.169,TCP,31008,18118,7.815,9233,12,2025-11-01 02:54:00,0
16.23.79.247,175.230.19.205,ICMP,54633,33259,2.929,1165,64,2025-11-01 02:55:00,0
2.240.219.128,109.192.243.68,TCP,6584,31191,0.906,3921,46,2025-11-01 02:56:00,0
160.218.83.152,24.227.35.45,ICMP,16413,50862,1.879,4145,14,2025-11-01 02:57:00,0
140.177.162.124,130.27.153.23,UDP,63382,59098,1.194,1186,155,2025-11-01 02:58:00,1
33.160.188.179,207.163.90.134,ICMP,25289,23096,0.672,826,116,2025-11-01 02:59:00,0
171.100.11.67,163.102.37.163,UDP,42877,18303,2.371,298,37,2025-11-01 03:00:00,0
65.160.167.74,228.201.93.53,ICMP,8739,10227,3.893,3889,110,2025-11-01 03:01:00,0
43.43.28.141,233.253.37.221,UDP,20092,40935,0.378,6470,62,2025-11-01 03:02:00,0
12.94.45.130,244.186.42.103,UDP,10462,10904,4.629,6214,67,2025-11-01 03:03:00,0
253.242.241.35,114.3.4.68,ICMP,50922,22410,24.827,4656,80,2025-11-01 03:04:00,0
215.80.89.8,228.122.172.80,UDP,6267,42447,16.639,8220,76,2025-11-01 03:05:00,0
93.153.201.90,153.205.10.157,TCP,29653,14886,8.836,755,14,2025-11-01 03:06:00,0
254.161.114.105,162.213.141.120,ICMP,40618,6100,1.549,1683,98,2025-11-01 03:07:00,0
135.195.57.245,152.186.166.26,TCP,63466,26077,0.113,163,167,2025-11-01 03:08:00,0
114.236.74.157,171.35.166.189,UDP,5109,49350,8.965,1813,133,2025-11-01 03:09:00,0
120.163.216.21,144.121.229.59,UDP,39909,42928,0.287,9153,76,2025-11-01 03:10:00,1
253.248.163.138,96.5.97.56,UDP,18414,61961,1.151,2217,26,2025-11-01 03:11:00,0
101.200.151.192,136.93.26.199,ICMP,25537,46579,3.931,6929,81,2025-11-01 03:12:00,0
227.176.98.240,155.216.119.174,UDP,61108,9727,0.982,1543,108,2025-11-01 03:13:00,1
36.209.240.231,169.206.24.86,TCP,21718,50866,8.972,5701,53,2025-11-01 03:14:00,1
96.151.150.190,146.11.86.179,TCP,64629,9541,7.506,7134,63,2025-11-01 03:15:00,1
224.36.11.113,109.166.88.10,ICMP,62690,53936,7.048,2164,11,2025-11-01 03:16:00,0
183.12.22.217,222.73.225.238,TCP,42874,8103,8.468,3294,33,2025-11-01 03:17:00,0
99.104.29.17,77.53.156.102,ICMP,44475,12755,1.24,2453,41,2025-11-01 03:18:00,0
113.61.83.112,169.236.136.191,ICMP,15908,36613,6.526,4427,40,2025-11-01 03:19:00,1
217.85.140.187,205.164.141.101,UDP,3900,33364,2.195,6129,174,2025-11-01 03:20:00,1
19.176.99.140,73.71.166.168,TCP,27231,8331,5.496,5873,4,2025-11-01 03:21:00,0
189.232.146.76,54.2.182.248,TCP,62071,50167,0.651,196,11,2025-11-01 03:22:00,0
9.198.27.206,111.231.160.96,TCP,52202,242,6.114,9355,155,2025-11-01 03:23:00,0
223.127.51.83,71.18.33.206,UDP,6580,18748,17.897,5043,8,2025-11-01 03:24:00,0
250.110.143.117,50.253.174.46,ICMP,21515,47771,0.223,5793,149,2025-11-01 03:25:00,1
69.98.139.25,184.184.82.254,TCP,39033,49885,0.493,957,127,2025-11-01 03:26:00,0
180.122.212.228,51.53.250.90,TCP,49698,135,0.66,6293,127,2025-11-01 03:27:00,0
53.150.143.57,81.117.155.19,TCP,65000,27836,2.816,1742,5,2025-11-01 03:28:00,1
39.108.180.42,27.175.243.249,TCP,61690,20146,1.718,1705,190,2025-11-01 03:29:00,0
186.166.141.223,147.224.178.7,UDP,48706,35395,8.223,5429,32,2025-11-01 03:30:00,0
122.132.162.215,157.246.170.69,ICMP,33249,60485,3.21,7203,89,2025-11-01 03:31:00,0
221.234.74.146,94.112.106.120,TCP,39461,59831,3.313,5847,58,2025-11-01 03:32:00,0
239.75.8.74,186.135.169.204,TCP,6423,43085,6.312,2151,72,2025-11-01 03:33:00,0
186.235.144.253,42.12.153.18,ICMP,42725,31120,2.247,3754,155,2025-11-01 03:34:00,0
230.6.173.141,42.50.243.113,UDP,14672,31094,2.179,7023,26,2025-11-01 03:35:00,0
168.169.136.178,212.143.100.3,UDP,31911,7180,7.072,5150,168,2025-11-01 03:36:00,0
27.121.193.5,254.218.78.250,UDP,53184,34279,7.572,2437,29,2025-11-01 03:37:00,0
29.164.165.83,98.172.149.232,UDP,43960,59163,0.073,5494,82,2025-11-01 03:38:00,1
136.239.108.65,23.58.189.113,TCP,41287,45814,0.776,1595,7,2025-11-01 03:39:00,0
86.243.144.71,68.242.53.57,ICMP,49397,19181,1.198,4542,106,2025-11-01 03:40:00,0
217.44.131.36,233.150.110.60,ICMP,53838,6908,2.166,383,21,2025-11-01 03:41:00,0
70.251.158.19,73.215.212.233,ICMP,22828,37281,1.723,1584,195,2025-11-01 03:42:00,0
189.107.181.167,238.54.116.208,UDP,62168,37071,5.521,4036,96,2025-11-01 03:43:00,0
91.201.89.19,63.183.254.55,UDP,31943,63829,8.805,6888,10,2025-11-01 03:44:00,1
39.125.194.173,25.25.176.63,ICMP,47996,50796,1.067,8270,62,2025-11-01 03:45:00,0
141.241.219.126,173.72.78.167,TCP,29171,43729,4.139,4422,136,2025-11-01 03:46:00,0
58.147.219.200,225.64.68.184,UDP,20319,4407,2.293,8086,114,2025-11-01 03:47:00,0
61.126.104.167,9.235.197.156,TCP,7921,30004,3.524,5026,4,2025-11-01 03:48:00,1
1.130.204.92,173.25.27.40,ICMP,12300,19749,4.848,3463,157,2025-11-01 03:49:00,1
190.248.190.252,143.133.26.38,UDP,39277,23153,11.203,9260,140,2025-11-01 03:50:00,0
113.152.55.161,196.202.84.64,TCP,6862,9592,1.068,275,100,2025-11-01 03:51:00,0
166.116.133.58,30.209.98.131,UDP,18181,9743,0.455,8033,179,2025-11-01 03:52:00,0
44.172.159.173,190.11.90.245,ICMP,3168,3412,4.934,9200,19,2025-11-01 03:53:00,1
61.46.148.80,30.212.37.85,ICMP,15430,16467,2.505,5264,111,2025-11-01 03:54:00,0
118.212.202.252,60.37.103.143,ICMP,42976,38465,0.889,1270,31,2025-11-01 03:55:00,0
229.163.226.147,146.179.28.112,TCP,27438,46532,0.623,278,108,2025-11-01 03:56:00,0
20.184.145.47,230.187.20.145,UDP,39772,29699,4.093,4964,26,2025-11-01 03:57:00,0
233.48.13.143,233.242.145.185,UDP,62181,58824,1.787,91,109,2025-11-01 03:58:00,0
159.0.116.54,119.164.59.166,UDP,48484,43881,29.812,9612,134,2025-11-01 03:59:00,0
118.2.143.215,140.202.239.244,ICMP,30507,10476,2.604,1096,29,2025-11-01 04:00:00,1
185.202.11.74,113.211.200.129,TCP,48671,31109,1.193,8253,17,2025-11-01 04:01:00,0
224.15.199.102,58.2.254.191,ICMP,12537,18825,4.956,8538,148,2025-11-01 04:02:00,0
204.151.155.117,149.22.136.246,ICMP,56573,5761,1.4,7649,170,2025-11-01 04:03:00,0
8.121.91.164,83.236.54.110,TCP,45826,18167,3.407,2649,110,2025-11-01 04:04:00,0
90.135.185.60,116.146.61.87,ICMP,61621,64235,3.294,3640,175,2025-11-01 04:05:00,0
178.27.219.101,219.218.166.100,ICMP,27475,47134,3.022,2005,74,2025-11-01 04:06:00,1
41.227.191.155,204.246.26.174,UDP,41933,46663,7.95,6572,198,2025-11-01 04:07:00,0
246.190.144.201,34.32.91.223,TCP,49115,62422,1.221,3618,96,2025-11-01 04:08:00,1
161.244.211.205,96.177.147.168,TCP,53413,31892,11.733,5601,2,2025-11-01 04:09:00,0
220.239.156.141,227.94.185.159,UDP,41987,25181,7.835,2583,37,2025-11-01 04:10:00,0
46.34.252.134,38.213.172.41,TCP,55758,39195,2.026,544,91,2025-11-01 04:11:00,0
82.114.196.47,137.243.136.191,UDP,23696,16089,0.996,8368,147,2025-11-01 04:12:00,1
153.193.9.56,79.204.127.22,ICMP,42148,12526,1.639,5124,41,2025-11-01 04:13:00,0
30.241.250.109,16.31.193.218,TCP,13655,40675,2.022,9534,144,2025-11-01 04:14:00,0
5.118.247.33,142.250.37.98,TCP,35689,8923,4.07,4054,115,2025-11-01 04:15:00,0
118.64.145.224,136.227.20.56,ICMP,63592,62783,0.237,6347,188,2025-11-01 04:16:00,0
239.176.10.85,46.42.119.220,ICMP,33315,14283,12.288,3654,185,2025-11-01 04:17:00,0
26.62.216.86,46.235.47.198,TCP,22841,50513,0.519,5182,64,2025-11-01 04:18:00,0
59.26.176.205,84.30.160.172,TCP,12456,34847,1.637,6111,5,2025-11-01 04:19:00,1
161.97.104.99,71.7.200.130,TCP,19975,17362,0.579,4846,146,2025-11-01 04:20:00,0
129.148.239.55,145.51.44.37,UDP,9154,29587,1.483,546,72,2025-11-01 04:21:00,0
6.219.208.197,170.43.208.117,TCP,65437,40562,9.091,9765,141,2025-11-01 04:22:00,1
95.132.101.3,38.98.123.239,TCP,55893,1638,4.775,4043,105,2025-11-01 04:23:00,0
181.22.228.53,231.221.5.68,ICMP,45491,13917,1.289,8939,74,2025-11-01 04:24:00,0
165.201.201.83,179.100.162.186,ICMP,24160,30927,10.269,9855,36,2025-11-01 04:25:00,1
145.84.77.201,185.200.133.13,UDP,3583,42942,8.065,7651,147,2025-11-01 04:26:00,0
110.0.50.173,187.213.219.30,ICMP,15768,60295,7.005,1747,159,2025-11-01 04:27:00,0
205.3.189.193,244.99.1.58,TCP,32179,19685,9.407,8533,93,2025-11-01 04:28:00,0
113.231.31.34,36.71.172.234,TCP,43322,36773,4.833,2484,109,2025-11-01 04:29:00,0
92.94.71.39,242.136.125.193,UDP,22045,16967,3.48,8549,23,2025-11-01 04:30:00,0
154.249.161.182,77.49.206.32,ICMP,18020,48470,2.342,5946,160,2025-11-01 04:31:00,0
118.2.122.50,98.42.124.95,ICMP,57922,25036,1.266,2995,113,2025-11-01 04:32:00,0
12.192.53.236,78.53.46.14,ICMP,14211,57480,4.076,2967,11,2025-11-01 04:33:00,0
133.221.221.251,176.54.156.175,UDP,52060,10169,11.013,897,194,2025-11-01 04:34:00,1
57.144.111.47,63.18.90.137,ICMP,54200,58322,4.507,2760,133,2025-11-01 04:35:00,0
